001	infant	a very young baby	The infant giggled and clapped when her mother made funny faces.
002	inflation	a rise in prices that makes things cost more over time	Because of inflation, the same candy bar that cost fifty cents now costs a dollar.
003	initiative	the drive to do what is needed on your own	She showed great initiative by starting the recycling program without any teacher asking.
004	insight	a clear and deep view of why something is the way it is	Reading the author's diary gave us insight into why she wrote such sad stories.
005	install	to put equipment in place and make it ready to use	Dad spent all Saturday trying to install the new ceiling fan in the living room.
006	integrity	being honest and doing what is right	He showed integrity by returning the wallet he found even though it had fifty dollars inside.
007	intellect	the ability to think, reason, and understand complex ideas	Einstein's remarkable intellect helped him imagine how time and space work together.
008	intercept	to stop something before it gets where it is going	The defender managed to intercept the pass and run the ball the other way.
009	interfere	to get in the way of something or get involved without being asked	Please don't interfere while I'm trying to concentrate on this tricky math problem.
010	intimidate	to frighten someone so they feel too scared to act	The huge waves might intimidate a beginner surfer, but experts ride them with ease.
011	intricate	having many small and detailed parts	The spider web had an intricate design with hundreds of perfectly placed silk threads.
012	introduction	the first part of something that gives background facts	The introduction of the book explains where the story happens and who the characters are.
013	investment	money or time put into something hoping to get more back later	Buying the seeds was a small investment that produced a garden full of vegetables.
014	irrigate	to supply water to farmland through pipes or channels	Farmers irrigate their fields during dry months by pumping water from the nearby river.
015	labor	hard physical or mental work	Building the stone wall by hand was years of labor for the farmer.
016	landscape	the visible features of an area of land	The landscape changed from flat plains to tall mountains as we drove west.
017	liberate	to set free from being held or controlled	The animal rescue team worked all night to liberate the dolphins trapped in the fishing net.
018	literacy	the ability to read and write	The library's goal is to improve literacy by giving free books to every child in town.
019	margin	the blank space at the edge of a page, or a small extra amount	Write your notes in the margin next to the paragraph, so you remember important ideas.
020	mechanism	the parts of a machine that work together, or how something works	The clock's mechanism includes tiny gears that turn the hands at the correct speed.
021	media	ways of sharing news and facts with many people, like TV, papers, and the internet	The media reported on the hurricane, so people knew to evacuate before it came.
022	medieval	from the Middle Ages, between 500 and 1500 AD	Knights in medieval times wore heavy metal armor and rode horses into battle.
023	memorize	to learn something so well you can recall it perfectly	She had to memorize all fifty state capitals for the geography test on Friday.
024	menace	something or someone that threatens to cause harm	Mosquitoes are a menace at the campsite, buzzing around and biting everyone.
025	merit	the quality of being good or worthy of praise	Her essay won the contest on its own merit—the judges didn't know whose it was.
026	metabolism	the process by which your body converts food into energy	Hummingbirds have such a fast metabolism that they need to eat every ten minutes.
027	mimic	to copy someone's actions or sounds	A parrot can mimic human speech so well that it sounds like a real person talking.
028	minimal	the smallest possible amount; very little	The damage from the storm was minimal—just a few broken branches and one dented mailbox.
029	ministry	a state department in charge of a specific area	The ministry of education sets standards for what students learn in every grade.
030	momentum	the power a moving object has because of its weight and speed; the drive to keep going	After scoring three baskets in a row, our team had all the momentum.
031	monarch	a king or queen who rules a country	The monarch wore a golden crown and sat upon a velvet throne.
032	monopoly	complete control over something, especially a product or service	When one company has a monopoly, customers have no other choices, and prices often rise.
033	municipal	belonging to a city or town and its local government	The municipal pool is owned by the city and open free to all residents each summer.
034	narrative	a story or account of events told in order	Her narrative described every detail of the camping trip from the bear sighting to the sunrise.
035	nitrogen	a gas that makes up most of Earth's atmosphere	About seventy-eight percent of the air you breathe is actually nitrogen, not oxygen.
036	nominate	to suggest someone for a position or award	I would like to nominate Sarah for class president because she is fair and responsible.
037	norm	the usual or expected way things are done	Wearing a seatbelt in the car is the norm—almost everyone does it automatically.
038	nuclear	about atoms or the powerful energy inside them	Nuclear energy can produce huge amounts of power from a tiny piece of fuel.
039	oblige	to require someone to do something, or to do a favor	The law obliges all drivers to stop at red traffic lights.
040	offend	to hurt someone's feelings or make them upset	He didn't mean to offend anyone—he just didn't realize his joke would hurt their feelings.
041	oppress	to treat people cruelly and not fairly using power	The unfair king tried to oppress the villagers by forcing them to pay impossibly high taxes.
042	orient	to figure out your position or direction	Use the compass to orient yourself, so you know which direction is north.
043	output	the amount of something produced by a person or machine	The factory's output doubled when they added a second production line.
044	outrage	extreme anger caused by something unfair or shocking	There was outrage among parents when the playground was closed without any warning.
045	overlap	to partly cover the same area or happen at the same time	The two circles overlap in the middle, making a shared section in the Venn chart.
046	overseas	in or to a country across the ocean	Her uncle works overseas in Japan and sends postcards from Tokyo every month.
047	overwhelm	to feel like something is too much to handle	The amount of homework can overwhelm students if they don't break it into small pieces.
048	patron	a customer of a store or supporter of a group	The library patron checked out seven books and promised to return them on time.
049	peak	the highest point of a mountain or the highest level	The climbers reached the peak of Mount Everest just as the sun was rising.
050	plantation	a large farm where one crop is grown in huge quantities	The tea plantation covered the entire hillside with rows of bright green bushes.
051	plead	to ask for something with great emotion and urgency	The lost puppy seemed to plead with its big brown eyes for someone to take it home.
052	poll	a survey asking people their opinions or who they'll vote for	The class took a poll to decide whether to have a pizza party, or a movie day.
053	pollinate	to transfer pollen to a plant so it can make seeds	Bees pollinate flowers as they fly from bloom to bloom collecting nectar.
054	pollute	to make air, water, or land dirty and harmful	Factories that dump chemicals into rivers pollute the water and harm fish.
055	populate	to fill an area with people or living things	Over time, settlers began to populate the frontier and build new towns.
056	precaution	an action taken ahead of time to prevent something bad	Wearing sunscreen is a precaution that protects your skin from painful sunburn.
057	preliminary	coming before the main event as getting ready	The preliminary rounds narrowed the field before the championship race.
058	premise	a statement or idea that forms the basis for an argument	The premise of the story is that animals can talk when humans aren't watching.
059	preside	to be in charge of a meeting or ceremony	The vice president will preside over the Senate meeting when it begins at noon.
060	prevalent	common and widespread in a particular place or time	Allergies are especially prevalent in spring when trees and flowers release pollen.
061	primarily	especially; more than anything else	Pandas eat primarily bamboo—it makes up ninety-nine percent of their diet.
062	procedure	a set of steps followed in a specific order to do something	The fire drill procedure tells students to line up quietly and walk to the exit.
063	quota	a fixed amount or share that is expected or allowed	Each student had a quota of five books to read before the end of the semester.
064	rational	based on reason and clear thinking rather than emotions	Taking a rain cover when clouds appear is a rational choice.
065	reaction	what you do or feel in response to something that happens	Her reaction to the surprise party was to scream with joy and hug everyone.
066	recede	to move back or become smaller over time	After the storm, the floodwaters began to recede, and the streets became visible again.
067	reception	a formal party to welcome people; also, the way people react to something	The author's new book received a warm reception—fans lined up for hours to buy it.
068	refer	to direct someone to a source of facts or mention something	The teacher told us to refer to chapter four for the answers to tonight's homework.
069	refuge	a safe place where you are protected from danger	The bird sanctuary provides refuge for injured eagles until they can fly again.
070	regime	a government or ruling system, especially one that uses strict control	The history book described how the old regime made strict rules that limited people's freedom.
071	relay	to pass a message along to someone else, or a team race where each runner takes a turn	She asked her brother to relay the message that dinner would be ready at six.
072	render	to cause something to become a certain way, often in a big or lasting manner	The heavy snow rendered the roads too dangerous to drive on.
073	renovate	to fix up and improve an old building	They plan to renovate the old theater by adding new seats, and a bigger stage.
074	repeal	to officially cancel or take back a law	Citizens voted to repeal the old law that banned skateboarding in the park.
075	replicate	to copy or reproduce something perfectly	Scientists are trying to replicate how the human brain learns inside a computer.
076	resign	to officially quit a job or position	The coach decided to resign after twenty years, so she could spend more time with family.
077	restrain	to hold back or prevent from doing something	The dog owner had to restrain her excited puppy from jumping on the visitors.
078	retail	the selling of goods to customers in stores	The retail price of the jacket was sixty dollars, but he found it on sale for forty.
079	retrieve	to get something back or go and bring it	The golden retriever loves to retrieve tennis balls thrown into the lake.
080	revolve	to move in a circle around a central point	Earth revolves around the sun once every 365 days, giving us our year.
081	robust	strong, healthy, and able to handle tough conditions	The robust oak tree survived the storm while thinner trees snapped in the wind.
082	rotate	to turn around a center point like a wheel	Earth rotates on its axis once every twenty-four hours giving us day and night.
083	sanction	official permission to do something, or a penalty placed on a country for breaking rules	After the country broke the trade agreement, other nations imposed sanctions to pressure it to change.
084	satellite	an object that orbits a planet, either natural like the moon or human-made	GPS works by communicating with satellites orbiting high above the Earth.
085	saturate	to soak completely so nothing more can be absorbed	The heavy rain will saturate the ground until puddles form on every surface.
086	scenario	a possible situation or sequence of events that could happen	In the best-case scenario, we finish the project early and have extra time to decorate.
087	sector	a section or part of a larger area or system	The tech sector of the economy has grown rapidly in the past decade.
088	senate	one of the two groups in Congress that makes laws	Each state sends two senators to the United States Senate in Washington, D.C.
089	siege	keeping soldiers around a place so no one can get in or out until they give up	The castle withstood the siege for three months before supplies ran out.
090	significance	the importance or meaning of something	The significance of her discovery was huge—it changed how doctors treat the disease.
091	simultaneous	happening at the very same moment	The two runners crossed the finish line in a simultaneous tie—neither one ahead of the other.
092	skeptical	having doubts about whether something is true	She was skeptical that the magic trick was real and looked for hidden wires.
093	solemn	very serious and not cheerful	The crowd stood in solemn silence as the flag was lowered to half-mast.
094	somewhat	to some degree but not completely	The test was somewhat difficult—not impossible, but harder than he expected.
095	sovereign	having the highest power to rule itself, free from outside control	A sovereign nation makes its own laws without being controlled by another country.
096	spectrum	a complete range of something, or the band of colors in light	A rainbow shows the full spectrum of colors in sunlight, from red all the way to violet.
097	speculate	to guess about something without having all the facts	Scientists speculate that there might be life on other planets, but we haven't found proof yet.
098	sphere	a perfectly round shape like a ball, the same in every way you look at it	Earth isn't a perfect sphere—it's slightly wider at the equator than at the poles.
099	stability	the state of being steady and not likely to change or fall	The wide base gives the pyramid its stability—it has stood for over four thousand years.
100	stagger	to walk unsteadily, or to arrange things at different times	After spinning around ten times, she began to stagger dizzily across the yard.
101	stake	something to lose or gain in a situation, or a pointed post	With first place at stake, both teams played their hardest in the final game.
102	statistic	a number fact collected from studying data	A surprising statistic is that the average person spends six months of their life waiting at red lights.
103	statute	a written law passed by a government body	The city passed a statute requiring all buildings to have working smoke detectors.
104	stereotype	a too-simple and often unfair idea about a group of people	It's a stereotype that all scientists wear lab coats—many work outdoors in boots and jeans.
105	stimulate	to encourage activity or make something more active	Bright colors and interesting puzzles stimulate a baby's brain development.
106	subordinate	lower in rank or less important than something else	In a company, a junior worker is subordinate to the manager and must follow their instructions.
107	subsequent	coming after something else in time or order	The first earthquake was small, but the subsequent ones were much stronger.
108	subsidy	money given by the government to help keep prices low or support a trade	The government provides a subsidy to farmers, so they can afford to grow food at lower prices.
109	substance	any material you can see, touch, or measure	Water is the only common substance that exists as a solid, liquid, and gas on Earth.
110	substantial	large in size, amount, or importance	She saved a substantial amount of money—enough to buy a brand-new bicycle.
111	subtle	so slight that it is hard to notice unless you look carefully	There was a subtle difference between the two shades of blue—barely visible to most people.
112	successor	a person who takes over a position after someone else leaves	The retiring principal introduced her successor who would start leading the school next month.
113	summarize	to briefly state the main points without extra details	Can you summarize the whole chapter in just three sentences?
114	superb	great; of the highest quality	The big band gave a superb performance—the audience gave them a five-minute standing ovation.
115	supreme	highest in rank, power, or importance	The Supreme Court is the highest court in the United States and makes final legal decisions.
116	surplus	more than what is needed; an extra amount	The farm produced a surplus of tomatoes, so they donated the extras to the food bank.
117	surrender	to give up or stop fighting	He refused to surrender and kept debugging until the code finally worked at midnight.
118	synthetic	made by humans rather than found in nature; artificial	Nylon is a synthetic material invented in the 1930s that doesn't exist in nature.
119	tenant	a person who pays rent to live in a building they don't own	The tenant on the third floor always pays rent on the first of every month.
120	terminal	the end point, or a building where travelers begin their journey	We arrived at the airport terminal two hours before our flight was scheduled to leave.
121	terrain	the physical features of a stretch of land	The rocky terrain made it hard for the hikers to walk without twisting an ankle.
122	testify	to give evidence or state facts under oath in court	The witness was asked to testify about exactly what he saw that night.
123	texture	how a surface feels when you touch it	The texture of sandpaper is rough and scratchy, while silk feels smooth and soft.
124	therapy	treatment that helps heal the body or mind	After breaking her leg, she needed six weeks of physical therapy to walk normally again.
125	threat	a warning that something harmful may happen, or a source of danger	Climate change is a serious threat to polar bears as their ice habitat melts away.
126	timber	wood used for building, or trees grown for their wood	Loggers cut timber from the forest to make lumber for building houses.
127	toxic	poisonous and able to cause harm or death	The bright colors of the poison dart frog warn predators that its skin is toxic.
128	transaction	an exchange of goods services, or money between people	Every transaction at the store is recorded, so the owner knows perfectly what was sold.
129	transition	the process of changing from one state or condition to another	The transition from elementary to middle school can feel exciting and scary at the same time.
130	transmit	to send or pass something from one place or person to another	Radio towers transmit signals that your car radio picks up and turns into music.
131	trigger	something that causes an event or reaction to start	The loud noise was the trigger that caused all the birds to fly away at once.
132	turbulent	full of sudden violent movements or changes; chaotic	The flight hit turbulent air, and the plane shook so much that drinks spilled everywhere.
133	twilight	the dim light in the sky just after sunset or before sunrise	Fireflies begin to glow during twilight filling the backyard with tiny floating lights.
134	ultimate	the final or most extreme; the best possible	Winning the championship was the ultimate achievement after four years of hard training.
135	undermine	to slowly weaken or damage something	Constant criticism can undermine a person's confidence until they stop trying altogether.
136	obstinate	stubbornly refusing to change one's mind	The obstinate child refused to eat vegetables no matter what his parents said.
137	obviate	to remove or prevent a problem or trouble	Wearing a seatbelt can obviate serious injuries during a car accident.
138	onerous	involving a lot of effort and trouble	The onerous task of cleaning the entire house took the whole weekend.
139	opacity	the quality of being hard to see through or understand	The opacity of the murky water made it impossible to see the bottom.
140	opulence	great wealth and luxury	The opulence of the palace was shown by its golden walls and crystal chandeliers.
141	oration	a formal speech given on an important occasion	The president delivered a powerful oration at the national ceremony.
142	oscillation	regular movement back and forth	The oscillation of the pendulum kept perfect time on the grandfather clock.
143	ostensible	appearing to be true but possibly not the real reason	The ostensible reason for the trip was business, but she really just wanted a vacation.
144	ostracism	excluding someone from a group	The ostracism of the new kid made the teacher step in and help.
145	overture	a friendly action to start a bond or agreement	The new neighbor's overture of baking cookies helped her make friends quickly.
146	palatable	pleasant to taste or acceptable to the mind	Adding honey made the bitter medicine more palatable for the child.
147	panacea	a solution for all problems	Exercise is not a panacea, but it does help with many health issues.
148	paragon	a perfect example of a good quality	The volunteer was a paragon of kindness who helped everyone in need.
149	paradoxical	seeming to contradict itself but it could be true	It was paradoxical that the fire station itself caught fire.
150	paucity	a very small amount of something	The paucity of rain caused the crops to dry up in the field.
151	pedagogue	a teacher, especially a strict one	The stern pedagogue expected every student to sit quietly and pay attention.
152	pedantic	caring too much about small details and rules	The pedantic editor corrected each tiny grammar mistake in the letter.
153	pejorative	showing that you think poorly of someone or something	Calling someone lazy is a pejorative term that can hurt their feelings.
154	penitence	the feeling of being sorry for doing something wrong	His penitence was clear when he apologized and offered to fix the broken window.
155	penultimate	second to last in a series	The penultimate chapter of the book had the most exciting plot twist.
156	pernicious	harmful in a way that is not easily noticed	The pernicious effects of bullying can last long after the bullying stops.
157	perturbation	a feeling of worry or unease	The sudden change in schedule caused perturbation among the students.
158	petulance	being grumpy and rude like a small child	His petulance when he didn't get his way annoyed everyone around him.
159	placid	calm and peaceful with little movement	The placid lake reflected the mountains like a perfect mirror.
160	platitude	a remark that has been used too often and has no meaning	Saying 'everything happens for a reason' felt like an empty platitude.
161	plethora	way more than enough of something	The store offered a plethora of ice cream flavors to choose from.
162	poignant	causing a sharp feeling of sadness or sympathy	The poignant ending of the movie made everyone in the theater cry.
163	polemic	a strong written or spoken attack on a belief or opinion	The newspaper article was a polemic against the new school uniform policy.
164	ponderous	slow and heavy; dull and boring	The elephant's ponderous steps shook the ground as it walked by.
165	portentous	warning that something important or bad is about to happen	The dark clouds were a portentous sign that a severe storm was approaching.
166	pragmatism	dealing with things in a real-world, hands-on way	His pragmatism led him to study something useful rather than just interesting.
167	precarious	not safe or secure; likely to fall or fail	The vase sat in a precarious position on the edge of the shelf.
168	precipitous	very steep or happening very quickly	The precipitous cliff dropped straight down to the ocean below.
169	precursor	something that comes before and leads to something else	Dark clouds are often a precursor to heavy rain.
170	predilection	a preference or special liking for something	Her predilection for chocolate cake meant she always ordered it for her birthday.
171	preeminent	better or more important than all others	She was the preeminent scientist in the field of marine biology.
172	preponderance	a greater amount or the majority of something	The preponderance of proof pointed to the suspect being guilty.
173	presentiment	a feeling that something bad is about to happen	She had a presentiment that the picnic would be ruined by rain.
174	presumptuous	doing something without permission or right to do so	It was presumptuous of him to sit in the teacher's chair without asking.
175	primordial	existing from the very start of time	Scientists study primordial rocks to learn about Earth's earliest history.
176	probity	complete honesty and high moral standards	The judge was known for his probity and always made fair decisions.
177	proclivity	a natural tendency to behave in a certain way	His proclivity for telling jokes made him the funniest person in the class.
178	procrastinate	to delay doing something that needs to be done	She would always procrastinate on her homework until the night before it was due.
179	prodigious	very great in size, amount, or degree	The prodigious waterfall sent millions of gallons of water crashing down each hour.
180	profligate	spending money or resources carelessly and wastefully	The profligate spending of the club used up all the funds in one month.
181	prognosticate	to predict what will happen in the future	Weather forecasters try to prognosticate whether it will rain or shine.
182	promulgation	officially announcing a new law or rule	The promulgation of the new safety rules needed signs posted in every hallway.
183	propitious	giving a good chance of success; favorable	The sunny weather was propitious for the outdoor school picnic.
184	proprietary	owned by one person or company and not shared	The recipe was proprietary and kept secret by the restaurant owner.
185	proscribe	to officially forbid something	The school rules proscribe running in the hallways for safety reasons.
186	proselytize	to try to persuade someone to join a cause or belief	She didn't want to proselytize, but she happily shared her love of reading.
187	protracted	lasting longer than expected or needed	The protracted meeting went on for three hours instead of one.
188	provenance	the place of origin or history of something	The museum checked the provenance of the painting to make sure it was authentic.
189	provisional	temporary and likely to be changed later	The provisional schedule will be updated once the final details are confirmed.
190	prowess	great skill or ability in something	Her athletic prowess helped her win three gold medals at the competition.
191	prudence	careful thought before making decisions	Prudence told him to save some money instead of spending it all on candy.
192	pugnacious	wanting to fight; quick to start arguments	The pugnacious rooster chased anyone who came near the chicken coop.
193	pulchritude	great physical beauty	The pulchritude of the sunset over the ocean took everyone's breath away.
194	punctilious	very careful about details and correct behavior	The punctilious host made sure every plate and glass was perfectly placed.
195	punitive	intended as a punishment	The punitive measures for cheating included a zero on the test.
196	quagmire	a difficult and complex situation that is hard to escape	The argument turned into a quagmire with no easy fix in sight.
197	qualm	a feeling of doubt or unease about doing something	She had no qualm about speaking up when she saw something unfair happening.
198	quandary	a state of confusion about what to do	He was in a quandary about whether to join the soccer team, or the drama club.
199	quarrelsome	likely to argue or disagree with people	The quarrelsome siblings argued about everything from toys to television shows.
200	querulous	always whining and finding fault	The querulous toddler whined about every meal that was put in front of him.
201	quintessential	being the most perfect example of something	Apple pie is the quintessential American dessert served at many gatherings.
202	quixotic	dreamy and noble but not doable in real life	His quixotic dream of ending all pollution in one year was admirable but unlikely.
203	rambunctious	full of energy and hard to control	The rambunctious puppies knocked over the water bowl while playing.
204	rancor	bitter anger and resentment	After years of rancor, the two neighbors finally made peace.
205	rapacious	very greedy and always wanting more	The rapacious pirate searched every ship for treasure and gold.
206	rapprochement	a return to friendly relations between two groups	The rapprochement between the two rival schools led to a joint charity event.
207	rationale	the reasons or thinking behind a choice	The teacher explained the rationale for assigning the hard project.
208	recapitulate	to summarize the main points of something	At the end of the lesson, the teacher asked a student to recapitulate the important points.
209	recidivism	the tendency to repeat bad behavior after being punished	Programs that teach job skills help reduce recidivism among young offenders.
210	reciprocity	trading favors so both sides gain	The two friends practiced reciprocity by taking turns helping each other study.
211	reclamation	the process of returning land or materials to a useful state	The reclamation of the old factory site turned it into a beautiful community park.
212	reconciliation	the restoring of friendly relations after a fight	The reconciliation between the two friends happened when they talked things out.
213	redress	a way of correcting something that is wrong or unfair	The student sought redress after being unfairly punished for something she didn't do.
214	redundancy	the state of being no longer needed or useful	The redundancy of two identical paragraphs made the essay feel repetitive.
215	refurbish	to repair and make something look new again	The workers helped refurbish the old library with fresh paint and new furniture.
216	reiterate	to say or do something again for emphasis	The loop will reiterate the same steps until the counter reaches one hundred.
217	relegate	to put someone or something in a less important position	The old toys were relegated to the attic when new ones arrived.
218	remonstrate	to protest or complain strongly about something	The parents remonstrated against the choice to cancel the school play.
219	renunciation	formally giving up a right or something you own	Her renunciation of the prize showed her humble character.
220	reparation	something done to make up for a wrong	The student offered reparation by replacing the book he had accidentally damaged.
221	reprehensible	so bad that it deserves blame	Bullying is reprehensible behavior that should never be tolerated in school.
222	repudiation	the rejection of something as having no authority or truth	The scientist's repudiation of the false theory led to new research.
223	requisition	an official request or demand for something	The teacher submitted a requisition for new art supplies for the classroom.
224	rescind	to officially cancel a law order, or choice	The principal chose to rescind the new rule after students complained.
225	resignation	a calm and sometimes sad acceptance of something unpleasant you cannot change	With a sigh of resignation, he accepted that the picnic was canceled due to rain.
226	resolute	very determined and unwilling to give up	The resolute climber kept on up the mountain despite the freezing wind.
227	resurgent	rising again after a period of decline	The resurgent team won five games in a row after losing their first three.
228	reticence	being unwilling to speak or reveal feelings	His reticence about the surprise party kept everyone from finding out.
229	retrospective	looking back at things that happened in the past	The museum held a retrospective exhibit showing the artist's work over many years.
230	revelry	noisy and lively party	The New Year's Eve revelry included music dancing, and fireworks.
231	reverberate	to echo; to have lasting effects	The thunder reverberated through the valley and shook the cabin windows.
232	rigmarole	a long and fussy process with too many steps	Getting a library card involved so much rigmarole with forms and signatures.
233	ruminate	to think deeply and carefully about something	She liked to ruminate on big questions while walking in the park alone.
234	sacrosanct	too important to be changed or interfered with	Family dinner time was sacrosanct and no one was allowed to miss it.
235	sagacious	wise and good at making smart choices	The sagacious grandmother always gave the best advice to her grandchildren.
236	salient	most important or noticeable	The salient point of the presentation was that recycling saves energy.
237	sanguine	optimistic and positive, especially in difficult situations	Despite the rain, she remained sanguine that the outdoor party would still be fun.
238	sardonic	mocking or scornful in a humorous way	His sardonic comment about the cold weather made everyone laugh.
239	scrupulous	very careful and thorough about details	The scrupulous accountant checked each number twice to avoid errors.
240	scrutinize	to examine something carefully	The detective scrutinized every inch of the room looking for clues.
241	sedentary	spending a lot of time sitting and not being active	A sedentary lifestyle can lead to health problems if you don't exercise.
242	semblance	an appearance or outward form of something	The classroom returned to a semblance of order after the fire drill ended.
243	serendipity	finding something good by accident or luck	Finding a twenty-dollar bill on the sidewalk was pure serendipity.
244	servile	too willing to serve or please others	The servile assistant agreed with everything the boss said without thinking.
245	simultaneity	the quality of two or more events taking place at once	The simultaneity of the two fireworks made the sky light up in a spectacular burst.
246	solace	comfort during a time of sadness or letdown	Reading books gave him solace when he was feeling lonely.
247	solicitous	showing care and concern for someone	The solicitous nurse checked on every patient many times during the night.
248	soporific	making you feel sleepy	The soporific hum of the car engine put the baby to sleep in minutes.
249	spurious	false or not genuine	The spurious claim that the earth is flat has been proven wrong many times.
250	squalid	very dirty and unpleasant	The squalid apartment had broken windows and trash piled in every corner.
251	stagnation	a state of staying still with no growth or change	Economic stagnation meant that few new jobs were created in the town.
252	stipend	a fixed regular payment, usually small	The intern received a small stipend to cover food and transportation costs.
253	stringent	very strict without room to bend	The stringent safety rules required all workers to wear helmets at all times.
254	subjugation	bringing someone under control by force	The subjugation of the native people by colonizers lasted for many decades.
255	subliminal	below the level of conscious awareness	The subliminal message in the advertisement was too quick for viewers to notice.
256	subordination	placing something in a less important position	The subordination of fun to homework was a hard lesson for the child to learn.
257	subservient	willing to do whatever someone else wants	The robot was designed to be subservient and follow every command it received.
258	substantiation	evidence that proves something is true	The scientist needed substantiation of her theory before publishing the results.
259	subterfuge	a trick or deception used to achieve a goal	The students used subterfuge to plan the surprise party without the teacher knowing.
260	succinct	expressed clearly in just a few words	Good code comments are succinct—just enough words to explain what the line does.
261	symbiosis	a close bond between two different organisms that benefits both	The symbiosis between bees and flowers helps both species survive and thrive.
262	tangential	only slightly related to the main topic	His tangential comments about sports during the science lesson confused the class.
263	tantamount	equal to something in its effect or value	Not voting is tantamount to giving up your voice in the community.
264	temerity	boldness or nerve that might be considered rude	He had the temerity to tell the chef that the food was terrible.
265	temperance	holding back and not going too far in what you do	Temperance in eating sweets helped her keep her teeth healthy.
266	tenacity	a strong will to keep going and never give up	Her tenacity in practicing piano every day led to her winning the competition.
267	tenet	a principle or belief held by a group	One tenet of the science club was that every thought deserved to be tested.
268	tepid	barely warm, or showing little interest	The audience gave a tepid response to the boring presentation.
269	terse	using very few words in a way that seems rude	His terse reply of 'no' left no room for further discussion.
270	tirade	a long angry speech of criticism	The coach went on a tirade about the team's lack of effort during practice.
271	torpor	a state of not being active or energetic	The hot summer afternoon left the entire class in a state of torpor.
272	tractable	easy to control or deal with	The tractable puppy quickly learned to sit and shake hands on command.
273	transient	lasting only for a short time	The rainbow was transient and disappeared within just a few minutes.
274	trepidation	a feeling of fear about something that might happen	He felt trepidation before his first day at a brand-new school.
275	truculent	fierce and ready to start a fight at any moment	The truculent boy picked arguments with everyone on the playground.
276	ubiquity	the state of being everywhere at the same time	The ubiquity of smartphones means almost everyone has one in their pocket.
277	umbrage	a feeling of being offended by something	She took umbrage at the rude comment and walked away from the conversation.
278	unctuous	so full of fake praise that it feels slimy and dishonest	The unctuous salesman smiled too much and made the customers uncomfortable.
279	underpinning	the foundation or basic support for something	Hard work is the underpinning of success in any field.
280	unequivocal	leaving no doubt; completely clear	The coach's unequivocal 'no' meant there was no chance of skipping practice.
281	unscrupulous	willing to do dishonest things to get what one wants	The unscrupulous merchant sold fake jewelry as if it was real gold.
282	usurpation	seizing power that doesn't belong to you	The general's usurpation of the throne shocked the entire kingdom.
283	utilitarian	designed to be useful rather than attractive	The utilitarian backpack was not pretty but had many pockets for organizing supplies.
284	vacillate	to keep changing your mind about something	She would vacillate between chocolate and vanilla every time she bought ice cream.
285	vapid	dull and lacking any spark	The vapid television show was so boring that everyone changed the channel.
286	vehemence	great force or passion in expressing feelings	He argued with such vehemence that everyone in the room fell silent.
287	venerate	to regard with great respect and admiration	The town venerated the elderly teacher who had taught three generations.
288	veracious	telling the truth; honest and accurate	The veracious reporter always double-checked her facts before publishing a story.
289	verbose	using more words than needed	His verbose essay was ten pages long when two pages would have been enough.
290	vestige	a small remaining part of something that once existed	The crumbling wall was the last vestige of the ancient castle.
291	vilification	saying cruel, untrue things to ruin someone's name	The vilification of the honest politician was based on lies and rumors.
292	vindictive	wanting revenge and trying to hurt someone	The vindictive bully spread rumors about the student who reported him.
293	virtuosity	rare and great skill in music or another artistic pursuit	The violinist's virtuosity left the crowd amazed by every single note.
294	vitriolic	filled with bitter criticism or hate	The vitriolic review of the restaurant made the chef feel awful.
295	vociferous	loud and forceful in expressing opinions	The vociferous crowd chanted slogans during the peaceful protest march.
296	volition	the power of choosing or making decisions	He joined the club of his own volition, not because anyone forced him.
297	waiver	an official paper giving up a right or claim	Parents signed a waiver before students could go on the field trip.
298	wanton	done on purpose and without caring about harm caused	The wanton destruction of the garden upset the entire neighborhood.
299	warranted	justified or deserved based on the situation	The teacher's concern was warranted the student had missed many classes.
300	wherewithal	the money or resources needed to do something	The family lacked the wherewithal to repair the roof after the storm.
301	zealot	a person with extreme enthusiasm for a cause	The environmental zealot spent every weekend cleaning up local beaches.
302	abnegation	choosing to give up something important to you	Her abnegation of her own time showed her dedication to the team.
303	acerbic	sharp and direct in speech, often in a harsh way	His acerbic wit made people laugh but sometimes hurt their feelings.
304	anachronism	something that belongs to a different time period	A knight in shining armor at a modern office would be an anachronism.
305	anathema	something that a person hates and rejects with all their heart	Cheating on tests was anathema to the honest student.
306	antithesis	the exact opposite of something	War is the antithesis of peace in every possible way.
307	asperity	harshness or sharpness of tone or manner	She spoke with such asperity that the room went completely silent.
308	calumny	a false statement made to damage someone's reputation	The calumny spread about the teacher was completely untrue and harmful.
309	chicanery	the use of dishonest tricks to deceive people	The dishonest salesman used chicanery to trick customers into paying too much.
310	contumacious	stubbornly refusing to obey	The contumacious cat ignored each command and sat wherever it pleased.
